,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Elements,left,right
2021-08-26 18:58:46.409,0.17167845,0.13065134,0.5893727999999999,-0.13758662,0.011913838000000001,-0.32806699999999994,0.42329195000000003,0.37341797000000004,0.36086938,0.019880753,0.40654772999999994,0.53661096,0.37520233,0.11710990999999998,-0.22251749,0.14147712,0.25572515,-0.2345055,-0.40802871999999996,-0.15366759999999996,,1.0,0.0
2021-08-26 18:58:46.509,0.1757897625,0.1606038165625,0.618388971875,-0.10590891375,-0.0103624916875,-0.34195002343750003,0.4347721765625,0.3855524465625,0.30128678624999994,-0.00420574075,0.40654773,0.4567747803125001,0.35928865812499994,0.11956221,-0.218276693125,0.13292206531249998,0.24527149375,-0.25702903125000004,-0.39477656375,-0.1548682484375,,1.0,0.0
2021-08-26 18:58:46.609,0.19480057374999998,0.22852444875,0.6384761649999999,-0.040055413762500006,-0.07441264109999998,-0.35804524174999997,0.4409645695,0.39828078499999997,0.25287108249999996,-0.027645062425,0.40654772999999994,0.33090021675000003,0.32511483975,0.13955253709999998,-0.20465209525,0.1086684344,0.21170457825,-0.29234052774999997,-0.366213639,-0.19344018275,,1.0,0.0
2021-08-26 18:58:46.709,0.2115501638888889,0.27592124833333326,0.6397357916666666,0.004705150750000001,-0.10191406388888888,-0.3440530266666666,0.43917802222222213,0.4025360055555556,0.23935143277777782,-0.04777873711111111,0.40654773,0.30516135,0.2962468966666667,0.16175766444444445,-0.1935294872222222,0.08887010111111111,0.18807815444444442,-0.30210748666666665,-0.3523354555555555,-0.2506197483333333,,1.0,0.0
2021-08-26 18:58:46.809,0.22266065000000002,0.31147002999999995,0.63893783,0.03657338,-0.10458156999999998,-0.3180831,0.43559085999999997,0.40555072,0.22809565,-0.07032763,0.40654773,0.297479,0.27133036000000005,0.18012561000000002,-0.18497743,0.07567097,0.17208502,-0.30499145,-0.3457095,-0.30639887,,1.0,0.0
2021-08-26 18:58:46.909,0.22266065000000002,0.36167678138888887,0.6372592108333335,0.036573380000000016,-0.10458157000000001,-0.24467972500000001,0.42447637111111114,0.4055507200000001,0.22809565,-0.05877741697222221,0.4071228616666667,0.2974789999999999,0.27133036000000005,0.2026614369444444,-0.16828902555555558,0.07567097,0.17208502,-0.31388897694444445,-0.34079197194444444,-0.30639887000000005,,1.0,0.0
2021-08-26 18:58:47.009,0.22266065,0.37576927625000006,0.6359042645833334,0.03657338,-0.10458157,-0.15103419791666664,0.4117949341666667,0.40555072,0.22809565,0.030073213041666668,0.4096189416666666,0.297479,0.27133036,0.22487553999999998,-0.14748081625,0.07567097,0.17208502,-0.27203832916666665,-0.33788660750000005,-0.30639887,,1.0,0.0
2021-08-26 18:58:47.109,0.22266065,0.37230816125000005,0.63579367625,0.03657338,-0.10458157,-0.09263292687500001,0.4018159625,0.40555072,0.22809565,0.028019179000000005,0.41004983,0.297479,0.27133036,0.25681810750000006,-0.12725521375,0.07567097,0.17208502,-0.2106490025,-0.33744168249999995,-0.30639887,,0.0,0.0
2021-08-26 18:58:47.209,0.22266065,0.3431507814583333,0.6370051658333334,0.0689397725,-0.10458157,-0.07102151270833333,0.39323994916666666,0.4170844858333333,0.22809565,-0.007725621833333334,0.41004983,0.30264220666666664,0.27133036,0.3020905208333333,-0.10818649458333333,0.08311195041666668,0.17208502,-0.14043759333333333,-0.3393601066666667,-0.29409477570833337,,0.0,0.0
2021-08-26 18:58:47.309,0.22266065,0.047672114999999994,0.6394594,0.8133668,-0.10458157,-0.16223739,0.38350794000000005,0.6823611,0.22809565,-0.19121557,0.41004983,0.42139596000000007,0.27133036,0.36072029999999994,-0.09397076,0.2542545,0.17208502,-0.07857756,-0.34495455,-0.011100607,,0.0,0.0
2021-08-26 18:58:47.409,0.24423919249999995,-0.0006612445833333336,0.6368936541666667,0.7683137291666666,-0.0023598529791666674,-0.2191095283333333,0.36505304666666666,0.6268299,0.11715593583333332,-0.18261537166666666,0.41004983,0.42139596000000007,0.47117308583333334,0.3736364770833333,-0.08946300916666668,0.23743998583333328,0.3375482754166667,-0.10708547541666669,-0.3586781516666666,-0.04413391233333333,,0.0,0.0
2021-08-26 18:58:47.509,0.24815842750000003,-0.032517102375,0.6150536624999999,0.72807351875,0.0156751364375,-0.26453516625,0.32396251,0.572213175,0.11233247,-0.155265585,0.41004983,0.42139596000000007,0.45589372499999997,0.37896925875000004,-0.09534083249999999,0.23230051249999997,0.30818449749999993,-0.1353661075,-0.38496177625,-0.069740956625,,0.0,0.0
2021-08-26 18:58:47.609,0.2872126584375,-0.054975365937500006,0.5517862540625,0.7093379793749999,0.01346790615625,-0.297183265,0.23293004093749997,0.5196112359375,0.11233247,-0.12546521187499998,0.36495600531249994,0.4267602440625,0.43218367187499995,0.37540836468750005,-0.10947002843749999,0.24288899531250002,0.26730093218749995,-0.155512678125,-0.42968973312500003,-0.0909746365625,,0.0,0.0
2021-08-26 18:58:47.709,0.29436605999999993,-0.06023427324999999,0.4021210210714285,0.7068811699999998,0.012699620999999998,-0.3096505385714286,0.04102599749999999,0.5112511499999999,0.11233247000000002,-0.0798108260714286,0.21213702535714285,0.42775362999999994,0.42842699999999984,0.3593861096428571,-0.1263084525,0.24496644999999997,0.26069704000000005,-0.15403685571428571,-0.49610233214285715,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:47.809,0.29436606,-0.013100967,0.24181573041666668,0.70688117,0.012699621,-0.28204086,-0.15564365291666668,0.51125115,0.11233247,-0.07192546,0.058719588666666676,0.42775363,0.42842699999999995,0.34259644000000006,-0.12980811333333334,0.24496645000000003,0.26069704,-0.13397957,-0.5418727416666667,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:47.909,0.29436606,-0.013100967,0.13120759,0.70688117,0.012699621,-0.28204086,-0.31434855,0.51125115,0.11233247,-0.07192546,-0.019077482,0.42775363,0.42842699999999995,0.34259644000000006,-0.12222899999999999,0.24496645000000003,0.26069704,-0.13397957,-0.5761345,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:48.009,0.29436606,-0.013100967,0.25406669958333333,0.70688117,0.012699621,-0.28204086,-0.21070063125000002,0.51125115,0.11233247,-0.07192546,-0.01423309166666667,0.42775363,0.42842699999999995,0.34259644000000006,-0.10782813458333333,0.24496645000000003,0.26069704,-0.13397957,-0.59692213,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:48.109,0.29436606,-0.013100967,0.5148232625000001,0.70688117,0.012699621,-0.28204086,0.025136309375,0.51125115,0.11233247,-0.07192546,0.035717882,0.42775363,0.42842699999999995,0.34259644000000006,-0.09244029625,0.24496645000000003,0.26069704,-0.13397957,-0.6049600425,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:48.209,0.29436606,-0.013100967,0.5716747775000001,0.70688117,0.012699621,-0.28204086,0.07417191020833334,0.51125115,0.11233247,-0.07192546,0.042823646,0.42775363,0.42842699999999995,0.34259644000000006,-0.08618390666666668,0.24496645000000003,0.26069704,-0.13397957,-0.6229142958333332,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:48.309,0.29436606,-0.013100967000000002,0.6046150061111111,0.7068811699999998,0.012699621,-0.28204086000000006,0.09929365166666665,0.51125115,0.11233247,-0.07192546000000001,0.042823646,0.42775363,0.4284269999999999,0.34259643999999995,-0.07634131138888889,0.24496644999999997,0.26069704,-0.13397957000000002,-0.6378611094444443,-0.09426735999999998,,0.0,0.0
2021-08-26 18:58:48.409,0.29436606,-0.014281665291666667,0.64226379,0.7059756254166666,0.012699621,-0.2831246229166667,0.12833117958333332,0.50926841875,0.11233247,-0.07593507833333334,0.04269427770833334,0.4254529404166667,0.42842699999999995,0.34305299541666673,-0.06361513958333333,0.24465440166666666,0.26069704,-0.13417713708333334,-0.6461995583333334,-0.09625012625,,0.0,0.0
2021-08-26 18:58:48.509,0.29436606,-0.041437726,0.67626446,0.6851481,0.012699621,-0.30805117,0.15573889,0.46366559999999996,0.11233247,-0.1681563,0.039718807,0.37253708,0.42842699999999995,0.35355377,-0.055336279999999995,0.23747729000000004,0.26069704,-0.13872118,-0.6499614,-0.14185375,,0.0,0.0
2021-08-26 18:58:48.609,0.293668585,-0.06945673233333333,0.7127397191666667,0.6451522020833335,0.044475532625,-0.3520267483333333,0.18757671666666664,0.37751327333333334,0.09322297175000001,-0.22775795375,0.01856354691666667,0.26889203624999997,0.4179541416666667,0.3543329237499999,-0.053017542666666674,0.22801997750000003,0.24241577749999998,-0.15399946666666667,-0.6493594133333334,-0.18000241250000001,,0.0,0.0
2021-08-26 18:58:48.709,0.29889382499999995,-0.08237089475,0.7501758374999999,0.58351733,0.06335975049999999,-0.39390431125,0.22309657500000002,0.25206910750000006,0.03066122925,-0.26530012875000003,0.0047629535125,0.15822142874999998,0.38939104375000005,0.34635687499999995,-0.05490722,0.2221417375,0.19483795375000001,-0.17202283,-0.6422596175,-0.21280234374999998,,0.0,0.0
2021-08-26 18:58:48.809,0.29964462,-0.07509062583333333,0.7655835666666668,0.5749607699999999,0.06586013,-0.4053087983333333,0.22646024999999995,0.23468362000000006,0.02184253,-0.28563518666666665,-0.005751403958333332,0.1430551,0.38537565,0.3348990683333333,-0.0386185685,0.22136073,0.18815467,-0.18005944,-0.6313524591666667,-0.2172511,,0.0,0.0
2021-08-26 18:58:48.909,0.29964462000000003,-0.048713861,0.7783149888888891,0.5749607700000001,0.06586012999999999,-0.39162961833333326,0.2250816683333333,0.23468362,0.021842530000000002,-0.30967585361111116,-0.017497330166666672,0.14305509999999996,0.38537565000000007,0.31432214555555554,-0.012737127502777775,0.22136072999999998,0.18815467000000002,-0.17661906166666666,-0.61866187,-0.21725110000000003,,0.0,0.0
