,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,label_left,label_right
2021-08-26 21:10:27.874,1.0050687000000003,0.0,0.0,1.4503957000000003,0.8746806999999999,0.0,0.0,1.0807787999999998,0.9157426000000002,0.0,0.0,1.1905837999999997,0.91392404,0.0,0.0,0.8616552000000001,0.8202196000000002,0.0,0.0,0.8680275699999999,0.0,0.0
2021-08-26 21:10:27.974,1.0050687,0.0,0.0,1.0809527374999999,0.8746807,0.0,0.0,0.45509890375,0.9157426000000001,0.0,0.0,1.0866859958333333,0.91392404,0.0,0.0,0.9799066333333334,0.8202196,0.0,0.0,0.7960223612499999,0.0,0.0
2021-08-26 21:10:28.074,1.029869875,0.0,0.0,0.9853742875,0.76759964375,0.0,0.0,0.40194836375000004,0.9140406375,0.0,0.0,1.0821687,1.08122558,0.0,0.0,0.9539535625000001,0.6420305225,0.0,0.0,0.763917965,0.0,0.0
2021-08-26 21:10:28.174,0.9589697188888889,0.0,0.0,0.9047325000000002,0.7066543458333332,0.0,0.0,0.37581891861111116,0.9262572277777777,0.0,0.0,1.0821686999999995,1.0537660749999997,0.0,0.0,0.9182348588888887,0.5982528694444444,0.0,0.0,0.7561822749999999,0.0,0.0
2021-08-26 21:10:28.274,0.8866187750000001,0.0,0.0,0.83764229625,0.6500160325000001,0.0,0.0,0.36705088624999993,0.939352675,0.0,0.0,1.0821687,1.0039896000000001,0.0,0.0,0.8890346,0.594613275,0.0,0.0,0.768509585,0.0,0.0
2021-08-26 21:10:28.374,0.841001,0.0,0.0,0.7930634479166665,0.60787696,0.0,0.0,0.3829136575,0.9464589,0.0,0.0,1.0796892541666667,0.9758013,0.0,0.0,0.8721781270833334,0.6071725,0.0,0.0,0.7841876416666667,0.0,0.0
2021-08-26 21:10:28.474,0.841001,0.0,0.0,0.67039704,0.60787696,0.0,0.0,0.36695436,0.9464589,0.0,0.0,1.022662,0.9758013,0.0,0.0,0.8368438499999998,0.6071725,0.0,0.0,0.7605814,0.0,0.0
2021-08-26 21:10:28.574,0.841001,0.0,0.0,0.44283773291666667,0.60787696,0.0,0.0,0.35495315166666663,0.9464589,0.0,0.0,0.7976242499999998,0.9758013,0.0,0.0,0.8030582395833333,0.6071725,0.0,0.0,0.74594923125,0.0,0.0
2021-08-26 21:10:28.674,0.841001,0.0,0.0,0.43294385,0.60787696,0.0,0.0,0.35443136,0.9464589,0.0,0.0,0.78784,0.9758013,0.0,0.0,0.8015893,0.6071725,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:28.774,0.841001,0.0,0.0,0.43294385,0.60787696,0.0,0.0,0.35443136,0.9464589,0.0,0.0,0.78784,0.9758013,0.0,0.0,0.8015893,0.6071725,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:28.874,0.8410009999999999,0.0,0.0,0.4329438500000001,0.60787696,0.0,0.0,0.3544313599999999,0.9464588999999999,0.0,0.0,0.7878399999999999,0.9758013,0.0,0.0,0.8015893,0.6071725000000001,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:28.974,0.8410009999999998,0.0,0.0,0.43294385000000013,0.6078769600000001,0.0,0.0,0.35443135999999986,0.9464589,0.0,0.0,0.7878399999999999,0.9758013000000001,0.0,0.0,0.8015893,0.6071725000000002,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:29.074,0.8410009999999999,0.0,0.0,0.43294385000000013,0.60787696,0.0,0.0,0.3544313599999999,0.9464588999999999,0.0,0.0,0.7878399999999999,0.9758013,0.0,0.0,0.8015893,0.6071725000000001,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:29.174,0.841001,0.0,0.0,0.43294385,0.60787696,0.0,0.0,0.35443136,0.9464589,0.0,0.0,0.78784,0.9758013,0.0,0.0,0.8015893,0.6071725,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:29.274,0.66375719375,0.0,0.0,0.43294385,0.569916296875,0.0,0.0,0.35443136,0.85488721875,0.0,0.0,0.78784,0.9264918824999999,0.0,0.0,0.8015893,0.5897541418750001,0.0,0.0,0.74531305,0.0,0.0
2021-08-26 21:10:29.374,0.40739812593749997,0.0,0.0,0.17406971518750003,0.5029775225,0.0,0.0,0.3317600115625,0.6575895675000001,0.0,0.0,0.646901766875,0.837083354375,0.0,0.0,0.7621585156249999,0.5686017168749999,0.0,0.0,0.7467074,0.0,0.0
2021-08-26 21:10:29.474,0.29008573000000004,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.33428505,0.48444062000000004,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999999,0.57030314,0.0,0.0,0.7773981700000001,1.0,0.0
2021-08-26 21:10:29.574,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.33428505,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:29.674,0.29008573000000004,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.3342850499999999,0.48444062000000004,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999999,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:29.774,0.29008573,0.0,0.0,-0.017229764,0.40956986,0.0,0.0,0.33428505,0.48444062,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:29.874,0.29008573,0.0,0.0,-0.017229764000000005,0.4095698600000001,0.0,0.0,0.33428505000000003,0.48444062,0.0,0.0,0.5722235399999999,0.7590644399999998,0.0,0.0,0.723618,0.57030314,0.0,0.0,0.77739817,1.0,0.0
2021-08-26 21:10:29.974,0.29008572999999993,0.0,0.0,-0.017229763999999998,0.40956985999999995,0.0,0.0,0.33428505,0.4844406200000001,0.0,0.0,0.57222354,0.75906444,0.0,0.0,0.7236179999999998,0.57030314,0.0,0.0,0.7773981700000001,1.0,0.0
